sticker_id,team_code,number,display_code,player_name,category,page_code,slot_position
UZB_001,UZB,1,UZB 1,Team Badge,badge,uzbekistan,row_1_col_1
UZB_002,UZB,2,UZB 2,Utkir Yusupov,player,uzbekistan,row_1_col_2
UZB_003,UZB,3,UZB 3,Farrukh Sayfiev,player,uzbekistan,row_2_col_1
UZB_004,UZB,4,UZB 4,Sherzod Nasrullaev,player,uzbekistan,row_2_col_2
UZB_005,UZB,5,UZB 5,Umar Eshmurodov,player,uzbekistan,row_unknown
UZB_006,UZB,6,UZB 6,Husniddin Aliqulov,player,uzbekistan,row_2_col_3
UZB_007,UZB,7,UZB 7,To be completed,player,uzbekistan,row_unknown
UZB_008,UZB,8,UZB 8,To be completed,player,uzbekistan,row_unknown
UZB_009,UZB,9,UZB 9,To be completed,player,uzbekistan,row_unknown
UZB_010,UZB,10,UZB 10,Dostonbek Khamdamov,player,uzbekistan,row_3_col_1
UZB_011,UZB,11,UZB 11,Otabek Shukurov,player,uzbekistan,row_1_col_5
UZB_012,UZB,12,UZB 12,Jamshid Iskanderov,player,uzbekistan,row_1_col_6
UZB_013,UZB,13,UZB 13,Team Photo,team_photo,uzbekistan,row_2_col_6
UZB_014,UZB,14,UZB 14,Azizbek Turgunboev,player,uzbekistan,row_3_col_4
UZB_015,UZB,15,UZB 15,Khojimat Erkinov,player,uzbekistan,row_3_col_5
UZB_016,UZB,16,UZB 16,Eldor Shomurodov,player,uzbekistan,row_3_col_6
UZB_017,UZB,17,UZB 17,Oston Urunov,player,uzbekistan,row_4_col_6
UZB_018,UZB,18,UZB 18,Jaloliddin Masharipov,player,uzbekistan,row_4_col_4
UZB_019,UZB,19,UZB 19,Igor Sergeev,player,uzbekistan,row_4_col_5
UZB_020,UZB,20,UZB 20,To be completed,player,uzbekistan,row_unknown
NZL_001,NZL,1,NZL 1,Team Badge,badge,new_zealand,row_1_col_1
NZL_002,NZL,2,NZL 2,Max Crocombre,player,new_zealand,row_1_col_2
NZL_003,NZL,3,NZL 3,Alex Paulsen,player,new_zealand,row_1_col_3
NZL_004,NZL,4,NZL 4,Michael Boxall,player,new_zealand,row_1_col_4
NZL_005,NZL,5,NZL 5,Liberato Cacace,player,new_zealand,row_1_col_5
NZL_006,NZL,6,NZL 6,Tim Payne,player,new_zealand,row_2_col_1
NZL_007,NZL,7,NZL 7,Tyler Bindon,player,new_zealand,row_2_col_2
NZL_008,NZL,8,NZL 8,Francis De Vries,player,new_zealand,row_3_col_1
NZL_009,NZL,9,NZL 9,Finn Surman,player,new_zealand,row_3_col_2
NZL_010,NZL,10,NZL 10,Joe Bell,player,new_zealand,row_3_col_3
NZL_011,NZL,11,NZL 11,Sarpreet Singh,player,new_zealand,row_2_col_4
NZL_012,NZL,12,NZL 12,Ryan Thomas,player,new_zealand,row_2_col_5
NZL_013,NZL,13,NZL 13,Team Photo,team_photo,new_zealand,row_2_col_6
NZL_014,NZL,14,NZL 14,Matthew Garbett,player,new_zealand,row_3_col_4
NZL_015,NZL,15,NZL 15,Marko Stamenic,player,new_zealand,row_3_col_5
NZL_016,NZL,16,NZL 16,Ben Old,player,new_zealand,row_3_col_6
NZL_017,NZL,17,NZL 17,Chris Wood,player,new_zealand,row_4_col_4
NZL_018,NZL,18,NZL 18,Elijah Just,player,new_zealand,row_4_col_1
NZL_019,NZL,19,NZL 19,Callum McCowatt,player,new_zealand,row_4_col_2
NZL_020,NZL,20,NZL 20,Kosta Barbarouses,player,new_zealand,row_4_col_6
ESP_001,ESP,1,ESP 1,BADGE,badge,esp,slot_01
ESP_002,ESP,2,ESP 2,UNAI SIMÓN,player,esp,slot_02
ESP_003,ESP,3,ESP 3,ROBIN LE NORMAND,player,esp,slot_03
ESP_004,ESP,4,ESP 4,ROBIN LE NORMAND,player,esp,slot_04
ESP_005,ESP,5,ESP 5,DEAN HUIJSEN,player,esp,slot_05
ESP_006,ESP,6,ESP 6,PEDRO PORRO,player,esp,slot_06
ESP_007,ESP,7,ESP 7,DANI CARVAJAL,player,esp,slot_07
ESP_008,ESP,8,ESP 8,MARC CUCURELLA,player,esp,slot_08
ESP_009,ESP,9,ESP 9,MARTÍN ZUBIMENDI,player,esp,slot_09
ESP_010,ESP,10,ESP 10,RODRI,player,esp,slot_10
ESP_011,ESP,11,ESP 11,PEDRI,player,esp,slot_11
ESP_012,ESP,12,ESP 12,FABIÁN RUIZ,player,esp,slot_12
ESP_013,ESP,13,ESP 13,TEAM PHOTO,team_photo,esp,slot_13
ESP_014,ESP,14,ESP 14,MIKEL MERINO,player,esp,slot_14
ESP_015,ESP,15,ESP 15,LAMINE YAMAL,player,esp,slot_15
ESP_016,ESP,16,ESP 16,DANI OLMO,player,esp,slot_16
