sticker_id,team_code,number,display_code,player_name,category,page_code,slot_position,section,sticker_type,page_number
00,WP,0,00,Panini Logo,special,we_are_panini,00,We Are Panini,special,1
FWC1,FWC,1,FWC 1,Official Emblem 1,special,fifa_world_cup_2026,FWC1,FIFA World Cup 2026,special,2
FWC2,FWC,2,FWC 2,Official Emblem 2,special,fifa_world_cup_2026,FWC2,FIFA World Cup 2026,special,2
FWC3,FWC,3,FWC 3,Official Mascots,special,fifa_world_cup_2026,FWC3,FIFA World Cup 2026,special,2
FWC4,FWC,4,FWC 4,Official Slogan,special,fifa_world_cup_2026,FWC4,FIFA World Cup 2026,special,2
FWC5,FWC,5,FWC 5,Official Ball,special,fifa_world_cup_2026,FWC5,FIFA World Cup 2026,special,2
FWC6,HCC,6,FWC 6,Canada,special,host_countries_and_cities,FWC6,Host Countries and Cities,special,6
FWC7,HCC,7,FWC 7,Mexico,special,host_countries_and_cities,FWC7,Host Countries and Cities,special,6
FWC8,HCC,8,FWC 8,USA,special,host_countries_and_cities,FWC8,Host Countries and Cities,special,6
MEX_001,MEX,1,MEX 1,Emblem,badge,mex,slot_01,Mexico,player,8
MEX_002,MEX,2,MEX 2,Luis Malagón,player,mex,slot_02,Mexico,player,8
MEX_003,MEX,3,MEX 3,Johan Vasquez,player,mex,slot_03,Mexico,player,8
MEX_004,MEX,4,MEX 4,Jorge Sánchez,player,mex,slot_04,Mexico,player,8
MEX_005,MEX,5,MEX 5,Cesar Montes,player,mex,slot_05,Mexico,player,8
MEX_006,MEX,6,MEX 6,Jesus Gallardo,player,mex,slot_06,Mexico,player,8
MEX_007,MEX,7,MEX 7,Israel Reyes,player,mex,slot_07,Mexico,player,8
MEX_008,MEX,8,MEX 8,Diego Lainez,player,mex,slot_08,Mexico,player,8
MEX_009,MEX,9,MEX 9,Carlos Rodriguez,player,mex,slot_09,Mexico,player,8
MEX_010,MEX,10,MEX 10,Edson Alvarez,player,mex,slot_10,Mexico,player,8
MEX_011,MEX,11,MEX 11,Orbelin Pineda,player,mex,slot_11,Mexico,player,8
MEX_012,MEX,12,MEX 12,Marcel Ruiz,player,mex,slot_12,Mexico,player,8
MEX_013,MEX,13,MEX 13,Team Photo,team_photo,mex,slot_13,Mexico,player,8
MEX_014,MEX,14,MEX 14,Érick Sánchez,player,mex,slot_14,Mexico,player,8
MEX_015,MEX,15,MEX 15,Hirving Lozano,player,mex,slot_15,Mexico,player,8
MEX_016,MEX,16,MEX 16,Santiago Giménez,player,mex,slot_16,Mexico,player,8
MEX_017,MEX,17,MEX 17,Raúl Jiménez,player,mex,slot_17,Mexico,player,8
MEX_018,MEX,18,MEX 18,Alexis Vega,player,mex,slot_18,Mexico,player,8
MEX_019,MEX,19,MEX 19,Roberto Alvarado,player,mex,slot_19,Mexico,player,8
MEX_020,MEX,20,MEX 20,Cesar Huerta,player,mex,slot_20,Mexico,player,8
RSA_001,RSA,1,RSA 1,Emblem,badge,rsa,slot_01,South Africa,player,10
RSA_002,RSA,2,RSA 2,Ronwen Williams,player,rsa,slot_02,South Africa,player,10
RSA_003,RSA,3,RSA 3,Sipho Chaine,player,rsa,slot_03,South Africa,player,10
RSA_004,RSA,4,RSA 4,Aubrey Modiba,player,rsa,slot_04,South Africa,player,10
RSA_005,RSA,5,RSA 5,Samukele Kabini,player,rsa,slot_05,South Africa,player,10
RSA_006,RSA,6,RSA 6,Mbekezeli Mbokazi,player,rsa,slot_06,South Africa,player,10
RSA_007,RSA,7,RSA 7,Khulumani Ndamane,player,rsa,slot_07,South Africa,player,10
RSA_008,RSA,8,RSA 8,Siyabonga Ngezana,player,rsa,slot_08,South Africa,player,10
RSA_009,RSA,9,RSA 9,Khuliso Mudau,player,rsa,slot_09,South Africa,player,10
